name,image,url,description,meta_description,meta_keyword
"KREG","https://www.vermontsales.co.za/image/data/manufacturers/KREG_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=164","<div class='manuf_desc_box'>
	<p>
	<img alt='Kreg Tool' height='79' src='https://www.vermontsales.co.za/images/brands/kreg_logo.png' style='float: right; margin-left: 12px;' width='197' /> 
	Kreg Joinery™ is an incredibly fast, strong, and simple way of joining wood. 
	In just three easy steps - Drill. Drive. Done! Experts and beginners alike can 
	create incredibly strong joints with far less time and frustration. </p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.kregtool.com/' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0B5R67v3yi2j5eDFwNUt2M2tfZ1E' target='_blank'>
			Catalogue Download</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=1KCxdASOdEfOu5uRdeMFD4Omu6LL3iZCO' target='_blank'>
			How to Merchandise</a></td>
		</tr>
	</table>
</div>
","Kreg Joinery™ is an incredibly fast, strong, and simple way of joining wood. In just three easy steps (Drill. Drive. Done!) experts and beginners alike can create incredibly strong joints with far less time and frustration. 
","Kreg Jigs,Kreg Jig,Screws and Plugs,Automaxx,Clamping Tools,Deck Jig,Deck Screws,Precision Routing Systems,Precision Machine Accessories,Universal Bench,Cutting and Measuring Tools,Pocket-Hole Machinery,kreg tool,"
"MALCO","https://www.vermontsales.co.za/image/data/manufacturers/MALCO_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=525","<div class='manuf_desc_box'>
	<p>
	<img alt='Malco Products, Inc.' src='https://www.vermontsales.co.za/images/brands/malco_logo.png' style='float: right; margin-left: 13px' />The 
	<strong>Malco Products, Inc.</strong> is the American Nation’s leading manufacturer of 'tools 
	of the trade' for <strong>HVAC </strong>(Heating, Ventilating and Air Conditioning) professionals. 
	In 1975 Malco also created a vital specialty tool market for EXTERIOR REMODELING 
	professionals (Installers of Roofing, Siding and Gutter) and holds the leadership 
	position in that niche as well.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='https://malcoproducts.com' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://malcoproducts.com/catalogs/' target='_blank'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Malco Products believes in top-quality products that work hard, enhance performance, 
	and stand up to years of real-world use on the job. Malco believes in American-made 
	tools that Work. Perform.&nbsp;<em>Outlast</em>. Today Malco Pro","MALCO, sheet metal cutting, roofing"
"MAUN","https://www.vermontsales.co.za/image/data/manufacturers/MAUN_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=199","<div class='manuf_desc_box'>
	<p>
	<img height='128' src='https://www.vermontsales.co.za/images/brands/maun_logo.png' style='float: left; margin-right: 12px; margin-bottom: 10px;' width='211' />Maun 
	Industries Ltd. Manufacturers of Engineers and Handtools. In business since 
	1944 and manufactured in the UK, MAUN host a range of parallel action pliers, 
	diagonal and end cutting nippers, cable cutters, revolving punches, wad punches, 
	leatherworking tools, crimping tools, straight edges and many more.</p>
		<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.maun-industries.co.uk/' target='_blank'>Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_NmdBeXRVTHVQeFE' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Maun Industries Ltd. Manufacturers of Engineers and Handtools. In business since 1944 and manufactured in the UK, MAUN host a range of parallel action pliers, diagonal and end cutting nippers, cable cutters, revolving punches, wad punches, leatherworking ","MAUN,engineers tools,pliers,nippers,"
"MICROJIG","https://www.vermontsales.co.za/image/data/manufacturers/MICROJIG_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=512","<div class='manuf_desc_box'>
	<p>
	<img src='https://www.vermontsales.co.za/images/microjig/microjig_logo_web.png' style='float: left;margin-right:15px' />
	Microjig is the must-have product range in every workshop. Safety first! Safely and 
	accurately cut workpieces with specially designed jigs for the table saw, bandsaw, router and planer.</p>
	<div style='float: right'>
		<a class='button' href='https://www.microjig.com/' target='_blank'>
		<span>»» Website</span></a></div>
	<p>&nbsp;</p></div>
","Microjig is the must-have product range in every workshop. Safety first! Safely and 
	accurately cut workpieces with specially designed jigs for the table saw, bandsaw, router and planer.","MICROJIG"
"MILES","https://www.vermontsales.co.za/image/data/manufacturers/MILES_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=522","MILES","MILES","MILES"
"MPS","https://www.vermontsales.co.za/image/data/manufacturers/MPS_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=201","<div class='manuf_desc_box'>
	<p>
	<img height='65' src='https://www.vermontsales.co.za/images/brands/mps_logo.png' style='float: left; margin-right: 13px; margin-top: 23px; margin-bottom: 67px;' width='211' />MPS 
	is a German manufacturer of top class quality blades. MPS, being one of the 
	largest manufacturers in the jigsaw and sabre saw sector, have a large selection 
	of various saws for all applications. MPS also offer a large assortment of hole 
	and circular saws for almost any field of application. Hand saw blades made 
	of carbon steel, HSS or bimetal fill out the product line.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.mps-saegen.com/eng_thecompanymps.php' target='_blank'>Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_T1R0Vk5fREtVa0k' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","MPS is a German manufacturer of top class quality blades. MPS, being one of the largest manufacturers in the jigsaw and sabre saw sector, have a large selection of various saws for all applications. MPS also offer a large assortment of hole and circular s","MPS,jigsaw blades,jig saw blades,sabre saw blades,saber saw blades,"
"MULTI-SHARP","https://www.vermontsales.co.za/image/data/manufacturers/MULTI-SHARP_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=375","MULTI-SHARP","MULTI-SHARP","MULTI-SHARP"
"OLFA","https://www.vermontsales.co.za/image/data/manufacturers/OLFA_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=184","<div class='manuf_desc_box'>
	<p>
	<img class='img-responsive' src='https://www.vermontsales.co.za/images/brands/olfa_logo.png' style='float: left; margin-right: 15px; margin-bottom: 8px; margin-top: 17px;'  />In 
	1956 Mr. Y Okada, the founder of OLFA CORPORATION, invented the world's first 
	SNAP-OFF BLADE CUTTER. The inspiration for this incredible idea came from breaking 
	off segments of chocolate bars and analyzing the snap edges of broken glass. 
	This unique invention has since become a worldwide best seller and is commonly 
	referred to as an OLFA CUTTER. The length, width and angle of the blade, established 
	by Mr. Y Okada, has become the worldwide standard for the snap-off blade.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.vermontsales.co.za/od/olfadidyouknow.html' target='_blank'>
			OLFA Knowledge Base</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_TGpMY2dmNHF3VkU' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","In 1956 Mr. Y Okada, the founder of OLFA CORPORATION, invented the world's first SNAP-OFF BLADE CUTTER. The inspiration for this incredible idea came from breaking off segments of chocolate bars and analyzing the snap edges of broken glass. This unique in","OLFA,cutter,nt cutter,scalpel,scissors,segmented blades, snap-off blades, circles cutters,"
"OLSON","https://www.vermontsales.co.za/image/data/manufacturers/OLSON_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=458","OLSON","OLSON","OLSON"
"PG","https://www.vermontsales.co.za/image/data/manufacturers/PG_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=436","PG","PG","PG"
"PICA","https://www.vermontsales.co.za/image/data/manufacturers/PICA_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=508","PICA","PICA","PICA"
"PINNACLE","https://www.vermontsales.co.za/image/data/manufacturers/PINNACLE_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=226","<div class='manuf_desc_box'>
<p><img alt='Pinnacle' src='https://www.vermontsales.co.za/images/brands/pinnacle_logo.png' /></p>
</div>","PINNACLE","PINNACLE"
"PLUGFONES","https://www.vermontsales.co.za/image/data/manufacturers/PLUGFONES_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=526","PLUGFONES","PLUGFONES","PLUGFONES"
"PONY","https://www.vermontsales.co.za/image/data/manufacturers/PONY_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=440","PONY","PONY","PONY"
"PRO-TECH","https://www.vermontsales.co.za/image/data/manufacturers/PRO-TECH_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=195","<div class='manuf_desc_box'>
	<p>
	<img alt='Pro-Tech' height='95' src='https://www.vermontsales.co.za/images/brands/protech_brand_logo.png' style='float: left; margin-right: 15px; margin-bottom: 13px;' width='236' /> 
	Pro-Tech Router Bits are known by Woodworkers in the professional and Do-it-Yourself 
	trade for almost 30 years.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.kprouterbits.com/' target='_blank'>Company website</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=0BxnzLp2IvSY_b2lZanZUZWFwbkk' target='_blank'>Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Pro-Tech Router Bits are known by Woodworkers in the professional and Do-it-Yourself trade for almost 30 years. Not only are our router bits and spindle moulder (shaper) cutters affordable, they are also excellent quality supported by an extreme range of ","PRO-TECH,router bits,routerbits,spindle cutters,spindle moulder cutters,"
"QUICKDRAW","https://www.vermontsales.co.za/image/data/manufacturers/QUICKDRAW_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=533","QUICKDRAW","QUICKDRAW","QUICKDRAW"
"RAWLPLUG","https://www.vermontsales.co.za/image/data/manufacturers/RAWLPLUG_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=378","<div class='manuf_desc_box'>

	<p>
	<img src='https://www.vermontsales.co.za/images/brands/rawlplug_logo.svg' style='float: right; margin-left: 10px;margin-top:-27px;margin-bottom:-34px' width='200px' />
	Rawlplug is one of the world's leading manufacturers of specialist anchoring and 
	fixing systems, with distribution on every continent. For nearly a century since 
	our foundation in 1919, the Rawlplug® brand has been synonymous with innovation, 
	reliability and safety in the development and manufacture of construction anchors 
	and fixing products.
 </p>
</div>","RAWLPLUG","RAWLPLUG"
"REAL STEEL","https://www.vermontsales.co.za/image/data/manufacturers/REAL STEEL_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=523","REAL STEEL","REAL STEEL","REAL STEEL"
"RITE IN RAIN","https://www.vermontsales.co.za/image/data/manufacturers/RITE IN RAIN_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=517","RITE IN RAIN","RITE IN RAIN","RITE IN RAIN"
"ROCKLER","https://www.vermontsales.co.za/image/data/manufacturers/ROCKLER_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=511","ROCKLER","ROCKLER","ROCKLER"
