model,availability,price,barcode
"POL02-SK17","19","108.4500","6009515851262"
"POL02-SK18","89","527.0000","6009515864880"
"POL03-05","4","588.1500",""
"POL03-11","4","2503.6500",""
"POL03-12","5","37.4500",""
"POL03-14","0","33.2500",""
"POL03-15","0","279.3500",""
"POL03-16","10","70.6500",""
"POL03-25","5","162.0500",""
"POL03-27","5","359.6500",""
"POL03-33","0","79.0000",""
"POL03-39","5","324.1500",""
"POL04","-14","1471.3000","6009515849122"
"POL04-01","0","90.7000","6009515862084"
"POL04-18","59","105.6500","6009515862107"
"POL04-20","58","6.2500","6009515862114"
"POL04-24","60","4.4500","6009515862121"
"POL04-25","82","4.4500","6009515862138"
"POL04-26","41","4.4500","6009515862145"
"POL04-29","47","23.2500","6009515862152"
"POL04-31","13","140.7000","6009515862169"
"POL04-32","39","43.8500","6009515862176"
"POL04-33","52","23.2500","6009515862183"
"POL04-34","56","4.4500","6009515862190"
"POL04-37","18","114.1500","6009515862206"
"POL04-45","59","23.2500","6009515862220"
"POL04-46","79","228.6000","6009515862237"
"POL04-58","60","23.2500","6009515862244"
"POL04-59","41","17.8000","6009515862251"
"POL04-SK01","29","13.2500","6009515864965"
"POL04-SK02","28","131.8500","6009515864972"
"POL04-SK03","26","62.7500","6009515864989"
"POL04-SK04","21","376.7000","6009515864996"
"POL04-SK05","19","439.5000","6009515865009"
"POL04-SK06","29","125.6000","6009515865016"
"POL04-SK07","14","154.4500","6009515865023"
"POL04-SK08","26","76.6000","6009515865030"
"POL04-SK09","43","212.2000","6009515865047"
"POL04-SK10","2","15.0500","6009515865054"
"POL04-SK11","-13","25.1000","6009515865061"
"POL04-SK12","25","25.1000","6009515865078"
"POL04-SK13","28","301.3500","6009515865085"
"POL04-SK14","26","408.1000","6009515865092"
"POL04-SK15","0","94.2000","6009515865108"
"POL04-SK16","20","50.2500","6009515865115"
"POL04-SK17","-1","118.0000","6009515865122"
"POL05","-148","1373.1500","6009515849139"
"POL05-08","33","23.3000","6009515862275"
"POL05-10","47","154.0500","6009515862282"
"POL05-13","49","6.2500","6009515862299"
"POL05-17","41","4.4500","6009515862305"
"POL05-18","57","4.4500","6009515862312"
"POL05-19","44","4.4500","6009515862329"
"POL05-22","42","22.0000","6009515862336"
"POL05-25","39","184.4000","6009515862343"
"POL05-26","29","17.8000","6009515862350"
"POL05-27","44","6.2500","6009515862367"
"POL05-30","17","162.5500","6009515862374"
"POL05-SK01","19","13.2500","6009515865139"
"POL05-SK02","19","94.2000","6009515865146"
"POL05-SK03","28","163.2000","6009515865153"
"POL05-SK04","26","251.1500","6009515865160"
"POL05-SK05","14","156.9500","6009515865177"
"POL05-SK06","3","202.2000","6009515865184"
"POL05-SK07","16","156.9500","6009515865191"
"POL05-SK08","24","175.8000","6009515865207"
"POL05-SK09","14","37.6500","6009515865214"
"POL05-SK10","-211","23.9000","6009515865221"
"POL05-SK11","11","18.8500","6009515865238"
"POL05-SK12","14","313.9000","6009515865245"
"POL05-SK13","13","43.9500","6009515865252"
"POL05-SK14","5","175.8000","6009515865269"
"POL05-SK15","31","62.7500","6009515865276"
"POL05-SK16","86","76.6000","6009515865283"
"POL06","-33","1569.5000","6009515849146"
"POL06-08","51","23.2500","6009515862428"
"POL06-10","52","154.0500","6009515862435"
"POL06-12","44","6.2500","6009515862442"
"POL06-15","42","4.4500","6009515862459"
"POL06-16","56","4.4500","6009515862466"
"POL06-17","43","4.4500","6009515862473"
"POL06-18","35","26.2500","6009515862480"
"POL06-21","22","263.6500","6009515862497"
"POL06-24","81","228.5500","6009515862503"
"POL06-28","23","4.4500","6009515862527"
"POL06-38","54","131.6500","6009515862541"
"POL06-SK01","16","13.2500","6009515865290"
"POL06-SK02","39","94.2000","6009515865306"
"POL06-SK03","17","251.1500","6009515865313"
"POL06-SK04","26","156.9500","6009515865320"
"POL06-SK05","16","288.8000","6009515865337"
"POL06-SK06","7","156.9500","6009515865344"
"POL06-SK07","30","219.7000","6009515865351"
"POL06-SK08","33","25.1000","6009515865368"
"POL06-SK09","-23","23.9000","6009515865375"
"POL06-SK10","111","43.9500","6009515865382"
"POL06-SK11","4","175.8000","6009515865399"
"POL06-SK12","12","144.4500","6009515865405"
"POL06-SK13","19","62.7500","6009515865412"
"POL06-SK14","5","37.6500","6009515865429"
"POL06-SK15","262","76.6000","6009515865436"
"PS320","0","95.2500","6009675086313"
"PT10008-22","272","580.1500","6009515858513"
"PT16012-20","99","224.9000","6009515856403"
"PT16018-20","165","264.8000","6009515860202"
"PT16028-20","0","256.5000","6009515856410"
"PT16040","0","407.1000","6009515877187"
"PT16048-20LM","-18","343.9000","6009515860196"
"PT16060AL","0","724.5000","6009515877286"
"PT18524-30","0","414.6900","6009515877194"
"PT18540-30","0","509.9100","6009515877200"
"PT18560-30","0","629.2800","6009515877217"
"PT18560AL","0","772.8000","6009515877293"
"PT21018-30","203","526.2500","6009515860226"
"PT21036-30","208","623.5000","6009515860233"
"PT21052-30","147","667.7000","6009515860257"
"PT23040-30","0","640.3200","6009515877224"
"PT23060-30","0","770.7300","6009515877231"
"PT23060AL","0","932.1900","6009515877279"
"PT25040-30","0","712.7700","6009515877248"
"PT25060-30","0","844.5600","6009515877255"
