parent,code,image,url,name,description,meta_description,meta_keyword,category_tree
"ALF","ALFB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2414","Headlight Restoration","Headlight Restoration","Headlight Restoration","Headlight Restoration","Abrasive/Grinding/Polish > Polishing > Restoration > Headlight Restoration"
"ALF","ALFC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2231","Polishing Kits","Polishing Kits","Polishing Kits","Polishing Kits","Abrasive/Grinding/Polish > Polishing > Restoration > Polishing Kits"
"ALF","ALFD","","https://www.vermontsales.co.za/index.php?route=product/category&path=2170","Face Off Discs","Face Off Discs","Face Off Discs","Face Off Discs","Abrasive/Grinding/Polish > Polishing > Restoration > Face Off Discs"
"AL","ALG","","https://www.vermontsales.co.za/index.php?route=product/category&path=2520","Polishing Felt","Polishing Felt","Polishing Felt","Polishing Felt","Abrasive/Grinding/Polish > Polishing > Polishing Felt"
"A","AM","","https://www.vermontsales.co.za/index.php?route=product/category&path=894","Wire Brushes","Universal","Universal","Universal","Abrasive/Grinding/Polish > Wire Brushes"
"AM","AMA","","https://www.vermontsales.co.za/index.php?route=product/category&path=895","Brass","Profi Multicut","Profi Multicut","Profi Multicut","Abrasive/Grinding/Polish > Wire Brushes > Brass"
"AM","AMB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2184","Bronze (Non Sparking)","Bronze (Non Sparking)","Bronze (Non Sparking)","Bronze (Non Sparking)","Abrasive/Grinding/Polish > Wire Brushes > Bronze (Non Sparking)"
"AM","AMC","","https://www.vermontsales.co.za/index.php?route=product/category&path=1806","Stainless Steel","Stainless Steel","Stainless Steel","Stainless Steel","Abrasive/Grinding/Polish > Wire Brushes > Stainless Steel"
"AM","AMD","","https://www.vermontsales.co.za/index.php?route=product/category&path=2137","Nylon","Nylon","Nylon","Nylon","Abrasive/Grinding/Polish > Wire Brushes > Nylon"
"AM","AME","","https://www.vermontsales.co.za/index.php?route=product/category&path=1994","Hand Brush","Hand Brush","Hand Brush","Hand Brush","Abrasive/Grinding/Polish > Wire Brushes > Hand Brush"
"AM","AMF","","https://www.vermontsales.co.za/index.php?route=product/category&path=1807","Wire Wheels","Wire Wheels","Wire Wheels","Wire Wheels","Abrasive/Grinding/Polish > Wire Brushes > Wire Wheels"
"AM","AMG","","https://www.vermontsales.co.za/index.php?route=product/category&path=2160","Wire Brush Sets","Wire Brush Sets","Wire Brush Sets","Wire Brush Sets","Abrasive/Grinding/Polish > Wire Brushes > Wire Brush Sets"
"A","AN","","https://www.vermontsales.co.za/index.php?route=product/category&path=2174","Sanding Blocks","Sanding Blocks","Sanding Blocks","Sanding Blocks","Abrasive/Grinding/Polish > Sanding Blocks"
"AN","ANA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2193","Sponges","Sponges","Sponges","Sponges","Abrasive/Grinding/Polish > Sanding Blocks > Sponges"
"AN","ANB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2245","Rectangular","Rectangular","Rectangular","Rectangular","Abrasive/Grinding/Polish > Sanding Blocks > Rectangular"
"ANB","ANBA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2246","Clamp Type","Clamp Type","Clamp Type","Clamp Type","Abrasive/Grinding/Polish > Sanding Blocks > Rectangular > Clamp Type"
"ANB","ANBB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2547","Velcro","Velcro","Velcro","Velcro","Abrasive/Grinding/Polish > Sanding Blocks > Rectangular > Velcro"
"ANB","ANBC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2444","Detail","Detail","Detail","Detail","Abrasive/Grinding/Polish > Sanding Blocks > Rectangular > Detail"
"AN","ANC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2175","Sanding Glove","Sanding Glove","Sanding Glove","Sanding Glove","Abrasive/Grinding/Polish > Sanding Blocks > Sanding Glove"
"AN","AND","","https://www.vermontsales.co.za/index.php?route=product/category&path=2256","Round","Round","Round","Round","Abrasive/Grinding/Polish > Sanding Blocks > Round"
"AND","ANDA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2257","Psa Pressure Sens Adhesive","Psa Pressure Sens Adhesive","Psa Pressure Sens Adhesive","Psa Pressure Sens Adhesive","Abrasive/Grinding/Polish > Sanding Blocks > Round > Psa Pressure Sens Adhesive"
"AND","ANDB","","https://www.vermontsales.co.za/index.php?route=product/category&path=2258","Velcro","Velcro","Velcro","Velcro","Abrasive/Grinding/Polish > Sanding Blocks > Round > Velcro"
"A","AO","","https://www.vermontsales.co.za/index.php?route=product/category&path=1823","Drum Sanding","Drum Sanding","Drum Sanding","Drum Sanding","Abrasive/Grinding/Polish > Drum Sanding"
"A","AP","","https://www.vermontsales.co.za/index.php?route=product/category&path=2135","Grinding Points","Grinding Points","Grinding Points","Grinding Points","Abrasive/Grinding/Polish > Grinding Points"
"A","AQ","","https://www.vermontsales.co.za/index.php?route=product/category&path=1857","Grinding Discs Angle Grinder","Grinding Discs Angle Grinder","Grinding Discs Angle Grinder","Grinding Discs Angle Grinder","Abrasive/Grinding/Polish > Grinding Discs Angle Grinder"
"AQ","AQA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1858","Steel","Steel","Steel","Steel","Abrasive/Grinding/Polish > Grinding Discs Angle Grinder > Steel"
"AQ","AQC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2441","Multipurpose","Multipurpose","Multipurpose","Multipurpose","Abrasive/Grinding/Polish > Grinding Discs Angle Grinder > Multipurpose"
"A","AS","","https://www.vermontsales.co.za/index.php?route=product/category&path=2374","Sandpaper Cutter","Sandpaper Cutter","Sandpaper Cutter","Sandpaper Cutter","Abrasive/Grinding/Polish > Sandpaper Cutter"
"","B","","https://www.vermontsales.co.za/index.php?route=product/category&path=1019","Cutting/Sawing","TCT Blades","TCT Blades","TCT Blades","Cutting/Sawing"
"B","BA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1313","Cut Off Discs","G.P.","G.P.","G.P.","Cutting/Sawing > Cut Off Discs"
"BA","BAA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1504","Steel","Wood Blades","Wood Blades","Wood Blades","Cutting/Sawing > Cut Off Discs > Steel"
"BA","BAB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1499","Masonry","Speciality Blades","Speciality Blades","Speciality Blades","Cutting/Sawing > Cut Off Discs > Masonry"
"BA","BAC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2239","Stainless Steel","Stainless Steel","Stainless Steel","Stainless Steel","Cutting/Sawing > Cut Off Discs > Stainless Steel"
"BA","BAD","","https://www.vermontsales.co.za/index.php?route=product/category&path=1804","Wood","Wood","Wood","Wood","Cutting/Sawing > Cut Off Discs > Wood"
"BA","BAE","","https://www.vermontsales.co.za/index.php?route=product/category&path=2327","Multipurpose","Multipurpose","Multipurpose","Multipurpose","Cutting/Sawing > Cut Off Discs > Multipurpose"
"B","BB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1326","Diamond Cutting Blades","Indust","Indust","Indust","Cutting/Sawing > Diamond Cutting Blades"
"BB","BBA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1327","Continuous Rim","Wood","Wood","Wood","Cutting/Sawing > Diamond Cutting Blades > Continuous Rim"
"BB","BBB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1328","Segmented","Alum","Alum","Alum","Cutting/Sawing > Diamond Cutting Blades > Segmented"
"BB","BBC","","https://www.vermontsales.co.za/index.php?route=product/category&path=1837","Turbo Wave","Turbo Wave","Turbo Wave","Turbo Wave","Cutting/Sawing > Diamond Cutting Blades > Turbo Wave"
"BB","BBD","","https://www.vermontsales.co.za/index.php?route=product/category&path=2172","Turbo Segmented","Turbo Segmented","Turbo Segmented","Turbo Segmented","Cutting/Sawing > Diamond Cutting Blades > Turbo Segmented"
"BB","BBE","","https://www.vermontsales.co.za/index.php?route=product/category&path=2173","Steel","Steel","Steel","Steel","Cutting/Sawing > Diamond Cutting Blades > Steel"
"BB","BBF","","https://www.vermontsales.co.za/index.php?route=product/category&path=2489","Sets","Sets","Sets","Sets","Cutting/Sawing > Diamond Cutting Blades > Sets"
"B","BC","","https://www.vermontsales.co.za/index.php?route=product/category&path=1021","Circular Saw Blades","Euro","Euro","Euro","Cutting/Sawing > Circular Saw Blades"
"BC","BCA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1509","Wood","Professional","Professional","Professional","Cutting/Sawing > Circular Saw Blades > Wood"
"BCA","BCAA","","https://www.vermontsales.co.za/index.php?route=product/category&path=1510","Cross-Cut","Wood","Wood","Wood","Cutting/Sawing > Circular Saw Blades > Wood > Cross-Cut"
"BCA","BCAB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1511","Rip","Aluminium","Aluminium","Aluminium","Cutting/Sawing > Circular Saw Blades > Wood > Rip"
"BCA","BCAC","","https://www.vermontsales.co.za/index.php?route=product/category&path=1856","Combination","Combination","Combination","Combination","Cutting/Sawing > Circular Saw Blades > Wood > Combination"
"BCA","BCAD","","https://www.vermontsales.co.za/index.php?route=product/category&path=1859","Laminate","Laminate","Laminate","Laminate","Cutting/Sawing > Circular Saw Blades > Wood > Laminate"
"BCA","BCAE","","https://www.vermontsales.co.za/index.php?route=product/category&path=2171","Biscuit Joiner","Biscuit Joiner","Biscuit Joiner","Biscuit Joiner","Cutting/Sawing > Circular Saw Blades > Wood > Biscuit Joiner"
"BCA","BCAF","","https://www.vermontsales.co.za/index.php?route=product/category&path=2206","Dado","Dado","Dado","Dado","Cutting/Sawing > Circular Saw Blades > Wood > Dado"
"BCA","BCAG","","https://www.vermontsales.co.za/index.php?route=product/category&path=2511","Flooring","Flooring","Flooring","Flooring","Cutting/Sawing > Circular Saw Blades > Wood > Flooring"
